id2,county,state,median_income,margin_error,rank
31001,Adams County, Nebraska,51201,3009,41
31003,Antelope County, Nebraska,46381,1914,65
31005,Arthur County, Nebraska,40375,5354,88
31007,Banner County, Nebraska,50833,11675,44
31009,Blaine County, Nebraska,50350,2637,46
31011,Boone County, Nebraska,51890,2523,35
31013,Box Butte County, Nebraska,54444,5950,17
31015,Boyd County, Nebraska,42463,3557,82
31017,Brown County, Nebraska,37328,7440,93
31019,Buffalo County, Nebraska,54098,2532,21
31021,Burt County, Nebraska,47137,3255,60
31023,Butler County, Nebraska,51166,3575,43
31025,Cass County, Nebraska,65385,2901,3
31027,Cedar County, Nebraska,54391,2578,18
31029,Chase County, Nebraska,53496,3910,24
31031,Cherry County, Nebraska,53059,3672,26
31033,Cheyenne County, Nebraska,54215,3535,20
31035,Clay County, Nebraska,51613,2954,37
31037,Colfax County, Nebraska,52712,3616,29
31039,Cuming County, Nebraska,49181,3305,52
31041,Custer County, Nebraska,47083,2817,61
31043,Dakota County, Nebraska,52336,2799,30
31045,Dawes County, Nebraska,42685,5011,81
31047,Dawson County, Nebraska,49943,2321,47
31049,Deuel County, Nebraska,51786,5107,36
31051,Dixon County, Nebraska,52813,2486,27
31053,Dodge County, Nebraska,49830,2264,48
31055,Douglas County, Nebraska,56003,727,13
31057,Dundy County, Nebraska,44583,7806,75
31059,Fillmore County, Nebraska,52070,3216,34
31061,Franklin County, Nebraska,46531,2896,64
31063,Frontier County, Nebraska,51192,2250,42
31065,Furnas County, Nebraska,40445,2785,87
31067,Gage County, Nebraska,48731,3992,54
31069,Garden County, Nebraska,49805,6922,49
31071,Garfield County, Nebraska,45227,3593,70
31073,Gosper County, Nebraska,60711,3286,6
31075,Grant County, Nebraska,45625,7573,68
31077,Greeley County, Nebraska,48220,2923,56
31079,Hall County, Nebraska,51355,1437,38
31081,Hamilton County, Nebraska,59760,2918,7
31083,Harlan County, Nebraska,44630,4196,72
31085,Hayes County, Nebraska,44602,9686,74
31087,Hitchcock County, Nebraska,41131,3701,86
31089,Holt County, Nebraska,49607,3572,50
31091,Hooker County, Nebraska,38616,2888,92
31093,Howard County, Nebraska,52247,3225,31
31095,Jefferson County, Nebraska,44616,3122,73
31097,Johnson County, Nebraska,47938,4852,57
31099,Kearney County, Nebraska,55068,4014,16
31101,Keith County, Nebraska,43100,4230,78
31103,Keya Paha County, Nebraska,43333,9547,77
31105,Kimball County, Nebraska,40344,3177,89
31107,Knox County, Nebraska,47692,3184,58
31109,Lancaster County, Nebraska,53730,882,23
31111,Lincoln County, Nebraska,52179,2197,32
31113,Logan County, Nebraska,51346,8820,39
31115,Loup County, Nebraska,56750,4806,12
31117,McPherson County, Nebraska,53750,14322,22
31119,Madison County, Nebraska,48673,2285,55
31121,Merrick County, Nebraska,50464,3245,45
31123,Morrill County, Nebraska,43942,2874,76
31125,Nance County, Nebraska,42429,5235,84
31127,Nemaha County, Nebraska,52736,4561,28
31129,Nuckolls County, Nebraska,41576,4089,85
31131,Otoe County, Nebraska,52108,3378,33
31133,Pawnee County, Nebraska,40139,4586,91
31135,Perkins County, Nebraska,56797,4733,11
31137,Phelps County, Nebraska,51264,3491,40
31139,Pierce County, Nebraska,53125,2984,25
31141,Platte County, Nebraska,58473,2954,9
31143,Polk County, Nebraska,57991,3577,10
31145,Red Willow County, Nebraska,42457,5310,83
31147,Richardson County, Nebraska,45929,5746,67
31149,Rock County, Nebraska,48750,7508,53
31151,Saline County, Nebraska,49332,4146,51
31153,Sarpy County, Nebraska,72269,1353,1
31155,Saunders County, Nebraska,64475,2559,4
31157,Scotts Bluff County, Nebraska,46632,2021,63
31159,Seward County, Nebraska,61563,2390,5
31161,Sheridan County, Nebraska,42802,2969,80
31163,Sherman County, Nebraska,46299,2935,66
31165,Sioux County, Nebraska,46667,8513,62
31167,Stanton County, Nebraska,58553,5238,8
31169,Thayer County, Nebraska,45590,1580,69
31171,Thomas County, Nebraska,54286,6429,19
31173,Thurston County, Nebraska,42979,1951,79
31175,Valley County, Nebraska,44657,6486,71
31177,Washington County, Nebraska,65565,3376,2
31179,Wayne County, Nebraska,55141,5580,15
31181,Webster County, Nebraska,40313,4137,90
31183,Wheeler County, Nebraska,47452,4840,59
31185,York County, Nebraska,55156,3709,14
